Help!,बचाओ!
This is the village where my father was born.,यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।
To distinguish right from wrong is difficult.,सही और ग़लत में अंतर करना मुश्किल होता है।
Tom couldn't understand what Mary was saying.,टॉम मेरी की बात समझ नहीं पाया।
Tom couldn't understand what Mary was saying.,टॉम मेरी की बात समझ नहीं सका।
What is the difference between this and that?,इस और उस में क्या अंतर है?
What is the difference between this and that?,इस और उस में क्या फ़र्क है?
Whoever wins the race will receive the prize.,जो भी रेस जीतेगा ईनाम उसी का होगा।
"You can buy whichever you like, but not both.","तुम्हें इन में से जो भी पसंद है ख़रीद लो, मगर तुम दोनों नहीं ख़रीद सकते।"
"As soon as he finished his work, he went home.",वह अपना काम खतम करते ही घर चला गया।
Going out in this rain is out of the question.,इस बारिश में बाहर जाना एकदम सवाल के बाहर है।
He is not the sort of guy who gives in easily.,वह आसानी से मान जाने वाला आदमी नहीं है।
He took advantage of every opportunity he had.,उसने किसी भी मौके को हाथ से जाने नहीं दिया।
I don't want there to be any misunderstanding.,मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।
I had a fight with my older brother yesterday.,मेरा कल मेरे भाई के साथ झगड़ा हुआ था।
I had a fight with my older brother yesterday.,मेरी कल मेरे भाई के साथ लड़ाई हुई थी।
I have tried innumerable times to contact him.,मैं बहुत बार उससे सम्पर्क करने की कोशिश कर चुकी हूँ।
I remember my mother teaching me the alphabet.,मुझे याद है कि मेरी माँ ने मुझे क-ख-ग-ध सिखाए थे।
I've been given until tomorrow to finish this.,मुझे ये कल तक खतम करना है ।
My father is my biggest source of inspiration.,मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।
Please don't hesitate to ask me any questions.,मुझसे कोई भी सवाल पूछने में न हिचकिचाएँ।
Please tell me your name and telephone number.,मुझे अपना नाम और फ़ोन नम्बर बताईये।
She is busy at present and can't speak to you.,वे अभी व्यस्थ हैं और आपसे बात नहीं कर सकतीं हैं।
That can't be Mary. She's in the hospital now.,"हो नहीं सकता कि वह मेरी हो, क्योंकि मेरी अभी हस्पताल में है।"
The drug smuggler was arrested at the airport.,दवा तस्कर हवाई अड्डे पर गिरफ्तार किया गया था।
"The instant he saw the policeman, he ran away.",वह पुलिस अफ़सर को देखते ही भाग गया।
They were about to leave when I arrived there.,"जब मैं वहाँ पहुँचा, वे जाने वाले थे।"
This car has been used for the past ten years.,इस गाड़ी का पिछले दस साल से इस्तेमाल हो रहा है।
What time do you usually get up every morning?,तुम आमतौर पर रोज़ सुबह कितने बजे उठते हो?
You are fortunate to have such loving parents.,तुम नसीब वालो हो जिसके इतना प्यार करने वाले माँ-बाप हैं।
You had better not go out in this bad weather.,अच्छा होगा कि तुम इस बुरे मौसम में बाहर न जाओ।
You should write it down before you forget it.,"तुम्हें इसे लिख लेना चाहिए, जिससे पहले कि तुम भूल जाओ।"
You'll be all right again in a couple of days.,तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।
You'll be all right again in a couple of days.,तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।
Can you tell me when to switch the machine off?,क्या मुझे बता सकते हो कि मशीन को कब बंद करना है?
Don't forget to return the book to the library.,उस किताब को पुस्तकालय को लौटाना मत भूलना।
He became a member of this club five years ago.,वह इस क्लब का सदस्य पाँच साल पहले बना था।
How can you tell good English from bad English?,तुम अच्छी और बुरी अंग्रेज़ी में कैसे अंतर कर सकते हो?
I have lots of work to clear up by the weekend.,मुझे इस हफ़्ते बहुत सारा काम कर के खतम करना है।
I have no idea to what extent I can trust them.,मुझे नहीं पता मैं उनपर कितना भरोसा कर सकता हूँ।
I saw a girl whose hair came down to her waist.,मैंने एक लड़की को देखा जिसके बाल उसकी कमर तक आते थे।
India gained independence from Britain in 1947.,भारत को ब्रिटेन से १९४७ में स्वतंत्रता प्राप्त हुई।
Something must have happened to him on the way.,उसके साथ रास्ते पर कुछ हुआ होगा।
The station is located between these two towns.,स्टेशन इन दो नगरों के बीच स्थित है।
These grapes are so sour that I can't eat them.,ये अंगूर इतने खट्टे हैं कि मुझसे खाए नहीं जा रहे।
Thousands of foreigners visit Japan every year.,हज़ारों विदेशी हर साल जापान जाते हैं।
Tom wants to know why you didn't call him back.,टॉम पूछ रहा है कि तुमने उसे कॉल बैक क्यों नहीं किया।
"We had no customers, so we shut the shop early.","हमारे पास ग्राहक नहीं थे, तो हमने दुकान जल्दी बंद करदी।"
We have some new products we'd like you to see.,आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।
When did America become independent of England?,अम्रीका को इंग्लैंड से आज़ादी कब मिली?
"While I was in Taiwan, I made friends with him.",मैं जब ताईवान में था तब उसके साथ दोस्त बन गया।
Would you mind speaking a little softer please?,आवाज़ थोड़ी धीमी कर सकते हो क्या?
You should hand in your report to me on Monday.,तुम्हे अपनी रिपोर्ट मुझे सोमवार को सौंप देनी चाहिए।
"Will they go on strike again? ""I'm afraid so.""","वे फिरसे हड़ताल कर सकते हैं क्या? ""लगता तो ऐसा ही है।"""
An old man was resting in the shade of the tree.,एक बूढ़ा आदमी पेड़ की छाया में आराम कर रहा था।
Could you please speak a little bit more slowly?,आप थोड़ा धीरे बोल सकते हैं क्या?
Do you think he will be elected president again?,क्या तुम्हे लगता है वह फिरसे प्रेसीडेंट चुना जाएगा?
He left his parents when he was eight years old.,वह आठ साल का था जब उसने अपने माता-पिता को छोड़ दिया।
He reminded his wife to wake him up at 7:00 a.m.,उसने अपनी पत्नी को उसे सुबह सात बजे उठाने की बात का याद दिलाया।
He sent out the parcel the day before yesterday.,उसने पार्सल को परसों भेजा था।
He was respected both as a teacher and as a man.,उसको दोनो एक अध्यापक और एक इनसान के रूप में सम्मान मिला।
How long did it take you to translate this book?,तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?
I became friends with him while I was in Taiwan.,तैवान में रहते समय मेरी उससे दोस्ती हुई।
I have never come across such a stubborn person.,इतने अड़ियल व्यक्ति से मेरी कभी भी मुलाकात नहीं हुई है।
I have to learn many words and phrases by heart.,मुझे बहुत सारे शब्दों और वाक्यांशों को रटना है।
I thought that he had already finished the work.,मुझे लगा कि वह काम खतम कर चुका था।
I was ill at ease because I didn't speak French.,मैं परेशान था क्योंकि मुझे फ़्रांसीसी बोलनी नहीं आती थी।
I was searching for something that didn't exist.,मैं एक ऐसी चीज़ ढूँढ रहा था जिसका अस्तित्व कभी था ही नहीं।
I was surprised at the news of his sudden death.,मैं उसकी अचानक मौत की खबर से चौंक गया।
It is necessary for you to go there immediately.,तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।
It is necessary for you to see a doctor at once.,तुम्हें जल्द-से-जल्द डॉक्टर के पास जाने की ज़रूरत है।
It makes no difference whether you agree or not.,"तुम मानो या न मानो, उससे कोई फ़र्क नहीं पड़ता।"
May I talk with you in private about the matter?,मैं तुम्हारे साथ इस बारे में अकेले में बात कर सकता हूँ क्या?
"She had plenty of acquaintances, but no friends.",उसकी जान-पहचान में तो बहुत लोग थे पर दोस्त कोई भी नहीं थे।
The doctor told her that she should take a rest.,डॉक्टर ने उससे कहा कि उसे आराम लेना चाहिए।
This elevator does not go above the sixth floor.,यह लिफ़्ट छटी मंज़िल तक ही जाती है।
This machine is superior in quality to that one.,यह मशीन उस मशीन से बेहतर है।
Tom had fifty dollars in his pocket at the time.,टॉम की जेब में उस समय पचास डॉलर थें।
Tomorrow is my birthday and I will be seventeen.,"कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।"
Tomorrow is my birthday and I will be seventeen.,"कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।"
"When she was reading the letter, she looked sad.",वह चिट्ठी पढ़ने के समय दुखी लग रही थी।
Why do you think soccer isn't popular in the US?,तुम्हारे खयाल से अम्रीका में फ़ुटबॉल लोकप्रिय क्यों नहीं है?
Write back to me as soon as you get this letter.,तुम्हें जैसे ही यह पत्र मिले मुझे लिखकर जवाब देना।
He contracted malaria while living in the jungle.,जंगल में रहते समय उसे मलेरिया हो गया।
He left all his property to his wife in his will.,उसने वसीयत में अपनी पत्नी को सारी जायदाद छोड़ दी।
He made such a long speech that we all got bored.,उसने इतना लम्बा भाषण दिया कि हम सब को बोर कर डाला।
I am of the opinion that he will never come back.,मेरे ख़याल से वह कभी भी वापस नहीं आएगा।
"I slept all day yesterday, because it was Sunday.","कल रविवार था, तो मैं पूरे दिन सोते रहा।"
I will tell him about it when he comes next time.,"जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगा।"
I will tell him about it when he comes next time.,"जब वह अगली बार आएगा, मैं उसे इसके बारे में बाताऊँगी।"
"If possible, I'd like to travel around the world.",अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।
"If the coffee is too strong, add some more water.",अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाललो।
London is one of the largest cities in the world.,लंदन दुनिया के सबसे बड़े शहरों में से एक है।
"London, the capital of England, is on the Thames.",इंग्लैंड की राजधानी लंदन थेम्स नदी के किनारे है।
The money should be distributed to those in need.,यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।
There is no hurry about returning the book to me.,मुझे वह किताब लौटाने में जल्द-बाज़ी करने की ज़रूरत नहीं है।
We cannot decide whether to go to college or not.,हम यह फ़ैसला नहीं ले पा रहें हैं कि कॉलेज जाएं या न जाएं।
You have the freedom to travel wherever you like.,तुम्हारे पास जहाँ भी जाने की मर्ज़ी हो वहाँ जाने की आज़ादी है।
Father objected to my going to the mountain alone.,पिताजी मेरे पहाड़ पर अकेले जाने से राज़ी नहीं थे।
He is confident that he will pass the examination.,उसको यकीन है कि वह परीक्षा में पास हो जाएगा।
He jumped into water without removing his clothes.,उसने कपड़े उतारे बिना ही पानी में छलाँग लगादी।
I do not know for certain what she is going to do.,मुझे ठीक से नहीं पता वह क्या करने वाली है।
I have nothing to say with regard to that problem.,मुझे इस समस्या के बारे में कुछ नहीं कहना है।
"I know her by sight, but I've never spoken to her.",मैं उसे पहचानता हूँ पर मैंने उससे कभी बात नहीं करी है।
I learned to play guitar when I was ten years old.,मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।
I spent the whole afternoon chatting with friends.,मैंने दोपहरभर अपने दोस्तों से गप मारी।
I stayed at home all day instead of going to work.,मैं काम पर जाने के बजाय सारे दिन घर पर रहा।
I think there has been some misunderstanding here.,मुझे लगता है कि यहाँ कुछ ग़लतफ़ैमी हुई है।
I'm not saying that your answers are always wrong.,मैं यह नहीं कह रही हूँ कि तुम्हारे उत्तर हमेशा ग़लत होते हैं।
India is the seventh largest country in the world.,भारत विश्व में सातवाँ सबसे बड़ा देश है।
It was so noisy that I couldn't make myself heard.,इतना शोर था कि किसी को भी मेरी आवाज़ सुनाई नहीं दे रही थी।
It's an absolute waste of time to wait any longer.,और इंतेज़ार करना समय की सरासर बर्बादी होगी।
Many people encouraged me to fulfill my ambitions.,अपनी अभिलाषाओं को पूरी करने के लिए मुझे बहुत से लोगों ने बढ़ावा दिया।
"She is very careful, so she seldom makes mistakes.","वह बहुत ध्यानपूर्वक है, इसलिए बहुत कम ग़लतियाँ करती है।"
This theory is too difficult for me to comprehend.,यह सिद्धांत मेरे समझने से बाहर है।
"To my surprise, she could not answer the question.",मैं हैरान था कि वह सवाल का जवाब नहीं दे पाई।
What number should I call in case of an emergency?,आपातकालीन स्तिथि में मुझे क्या नम्बर मिलाना चाहिए?
I advise you not to borrow money from your friends.,मेरी तुम्हारे लिए यह सलाह है कि अपने दोस्तों से पैसे उधार मत लो।
I go to the office by bicycle except on rainy days.,"उन दिनों के सिवाय जब बारिश हो रही होती है, मैं साईकल चलाकर काम पर जाता हूँ।"
I had hardly reached the school when the bell rang.,मैं बस स्कूल पहुँचा ही था कि घंटी बज गई।
I want to clean the house before my parents return.,मैं अपने पापा-मम्मी के वापस आने से पहले घर साफ़ करना चाहता हूँ।
I was kept waiting for a long time at the hospital.,अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।
International trade is vital for healthy economies.,अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।
It is said that he is the richest man in the world.,कहा जाता है कि वह दुनिया में सबसे अमीर आदमी है।
It's already eleven o'clock. I must be leaving now.,ग्यारह बज चुके हैं। मुझे चलना चाहिए।
The people of London are very proud of this bridge.,लंदन के लोगों को इस ब्रिज पर गर्व है।
We are responsible for your protection from now on.,अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।
I will get through with my homework before he comes.,मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।
I will never forget your kindness so long as I live.,मैं आपकी अच्छाई को कभी नहीं भूलूँगा।
Look carefully. I'm going to show you how it's done.,ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
A selfish man thinks of nothing but his own feelings.,मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।
A selfish man thinks of nothing but his own feelings.,मतलबी इनसान केवल अपने बारे में ही सोचता है।
All the flowers in the garden died for lack of water.,बाग के सारे फूल पानी की कमी की वजह से मर गए।
I ran into an old friend of mine outside the station.,मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।
I spent hours looking for the key that I had dropped.,मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।
It is dangerous to ride a motorbike without a helmet.,हेलमेट पहने बिना मोटरसाईकल चलाना बहुत खतरनाक होता है।
It would be better for you not to ask him for advice.,बहतर होगा कि तुम उससे सलाह न माँगो।
My hands are dirty. I have been repairing my bicycle.,मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।
She gave me a large room while I stayed at her house.,"जब मैं उसके घर पर रही, उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।"
The government started a program to promote industry.,सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।
The majority of the committee voted against the bill.,समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।
The other day her mother passed away in the hospital.,कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।
The population of China is larger than that of India.,चीन की जनसंख्या भारत की से बड़ी है।
The speed of the spread of AIDS is horrifyingly fast.,एड्स के फैलाव की तेज़ गति बहुत भयानक है।
"When you can't do what you want, you do what you can.","जब वह नहीं कर सकते जो करना चाह्ते हो, तो वह करो जो कर सकते हो।"
I was caught in a shower and was drenched to the skin.,मैं बारिश में फंस गया था और तर-तर भीग गया।
In Japan there aren't any lakes bigger than Lake Biwa.,जापान में बीवा झील से बड़ी और कोई झील नहीं है।
"In case I can't come, I'll give you a call beforehand.",अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।
Make sure to turn off all the lights before going out.,बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।
The king ordered that the prisoner should be set free.,राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।
The patient was lying in the bed with his eyes closed.,मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।
The police arrested the man who had murdered the girl.,पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।
We are supposed to take off our shoes at the entrance.,हमे अंदर जाने से पहले जूते उतारने होंगे।
We have decided on leaving this town tomorrow morning.,हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।
You should not speak ill of others behind their backs.,तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
You'll have to work hard if you want to pass the exam.,अगर तुम्हे परीक्षा पास करनी है तो मन लगाकर काम करना होगा।
A committee has been set up to investigate the problem.,इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।
"According to TV news, there was a plane crash in India.","टीवी समाचार के मुताबिक, भारत में विमान दुर्घटना हुई है।"
Can you tell the difference between these two pictures?,तुम इन दो तस्वीरों में अंतर बता सकते हो?
Don't be afraid to make mistakes when speaking English.,अंग्रेज़ी बोलते समय गलतियों का डर नहीं होना चाहिए।
In order to stay awake I may have to drink more coffee.,मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।
The Taj Mahal is one of the seven wonders of the world.,ताज महल विश्व के सात आश्चर्यों में से एक है।
The number of fish caught in this river was very small.,इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।
The voyage from England to India used to take 6 months.,इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।
There is no point in studying if you are feeling tired.,अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
This car has enough power to go up the mountain easily.,गाड़ी में आसानी से पहाड़ चढ़ने लायक जान है।
We ought to do our best not to pollute our environment.,हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।
You can borrow these books from the library for a week.,आप ये किताबें पुस्तकालय से एक हफ़्ते के लिए ले सकते हैं।
Your feet are swollen because your shoes are too small.,तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।
A mother is responsible for the conduct of her children.,एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।
Columbus argued that he could reach India by going west.,कोलम्बस ने सोचा कि वह पश्चिम दिशा में जाकर भारत पहुँच सकता था।
"In the 1600s, tea was introduced into Europe from India.",१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।
"It's been nice talking to you, but I really must go now.","आपसे बात करके खुशी हुई, पर अब मुझे जाना पड़ेगा।"
It's hard to say what the weather will be like tomorrow.,कल का मौसम कैसा होगा कहना मुश्किल है।
"Last night you forgot to turn off the radio, didn't you?",तुम कल रात रेडियो को बंद करना भूल गए थे ना?
"Without a dictionary, it would be hard to study English.",शब्दकोश (डिक्शनरी) के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।
You ought not to have spent so much money on your hobby.,तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।
"When will you be back? ""It all depends on the weather.""","कब वापस आओगे? ""यह तो मौसम देख कर पता चलेगा।"""
He never takes into account the fact that I am very busy.,वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्थ हूँ।
I can barely afford to buy enough food to feed my family.,अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।
It is essential to have good command of English nowadays.,आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।
Mumbai is the capital of the Indian state of Maharashtra.,मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
Parents are responsible for the safety of their children.,मातापिता अपने बच्चों की हिफ़ाज़त के लिए ज़िम्मेदार होते हैं।
Some of the boys are fishing and the others are swimming.,"कुछ लड़के मछलियाँ पकड़ रहे हैं, और बाकी तैर रहे हैं।"
"That child is only four, but he can already count to 100.","वह बच्चा हालांकि केवल चार साल का ही है, वह अभी से ही सौ तक गिनती कर सकता है।"
The reason why you failed is you did not try hard enough.,तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
He couldn't sleep because of the noise outside his window.,उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।
He intends to devote his life to curing the sick in India.,वह अपनी ज़िंदगी को भारत में बीमारों का इलाज करने में समर्पित करना चाहता है।
I have so many clothes I don't know what to wear tomorrow.,मेरे पास इतने सारे कपड़े हैं कि मुझे समझ में नहीं आ रहा है कि कल क्या पहनूँ।
"I tried to give her some money, but she wouldn't take any.",मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।
It makes no difference to me whether you are rich or poor.,"तुम अमीर हो या ग़रीब, इससे मुझे कोई फ़र्क नहीं पड़ता।"
Japan is one of the greatest economic powers in the world.,जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।
"On the fifteenth of August, thousands of people fly kites.",पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।
There is nothing on earth that is not affected by the sun.,विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।
There is nothing on earth that is not affected by the sun.,दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।
"According to my calculation, she should be in India by now.",मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।
Cross off the names of the people who have paid their dues.,"जो पैसे भर चुकें हैं, उनके नाम काट दो।"
He deliberately ignored me when I passed him in the street.,"जब मैं सड़क पर उसके सामने से गया, उसने जानबूझकर मुझे पहचाना नहीं।"
He promised me that he would be more careful in the future.,उसने मुझसे वादा किया था कि वह आगे से ज़्यादा सावधान रहेगा।
Seeing that movie is something like taking a trip to India.,उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।
The authorities have been hiding the facts from the public.,अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।
What is the difference between imitation and real diamonds?,असली और नकली हीरों में क्या फ़र्क होता है?
"By the time the sun sets, we will arrive at the destination.",हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।
He finished his dinner because he didn't like to waste food.,"उसे खाने की बर्बादी करना पसंद नहीं था, तो उसने अपना खाना खाकर खतम किया।"
"Nobody likes him, because he is always blowing his own horn.",उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।
What do you call a man who takes care of sheep in the field?,खेत में बकरियों की देखभाल करने वाले आदमी को क्या बुलाया जाता है?
I feel sad when I think about all the people who die in wars.,मुझे दुख होता है जब मैं उन लोगों की सोचता हों जो जंग में अपनी जान खो देते हैं।
The fisherman exaggerated the size of the fish he had caught.,मछवारे ने पकड़ी हुई मछली के आकार को बढ़ा-चढ़ाकर बताया।
The new government promised to rid the country of corruption.,नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।
His shoes were so old that his toes were sticking out of them.,उसके जूते इतने पुराने थे कि उनमें से उसकी ऊँगलियाँ निकल रहीं थीं।
"If it had not been for her help, you would never have done it.",उसकी मदद के बिना तुम नहीं कर पाते।
"Instead of cleaning the house today, I think I'll take a walk.",मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।
It has been raining on and off since the day before yesterday.,परसों से बारिश रुक रुक के हो रही है।
It will take me no less than 10 hours to prepare for the exam.,मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।
"Mary resembles her mother in appearance, but not in character.",मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।
This morning the weather was so bad that I had to take a taxi.,आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।
How long has it been since you gave up teaching at that school?,तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?
I don't think I shall get through all this work this afternoon.,मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।
I missed my stop. How long does it take to reach the next stop?,मेरा स्टॉप छूट गया। अगला स्टॉप कितनी देर में आएगा?
To investigate the incident would take us at least three weeks.,हमको इस घटना की तहकीकात करने में कम-से-कम तीन हफ़्ते लगेंगे।
"The older you are, the more difficult it is to learn a language.","तुम्हारी उम्र जितनी बड़ी होती है, तुम्हारे लिए कोई भाषा सीखना उतना ही कठिन होता है।"
Electric power companies are seeking to reduce their use of coal.,बिजली कम्पनियाँ कोयले का इस्तेमाल कम करने की कोशिश कर रही हैं।
It is not till we lose our health that we realize its true value.,"हम जब तक अपनी सेहत नहीं खो देते हैं, हमे तब तक उसकी असली कीमत नहीं पहचानते हैं।"
You might as well read a novel instead of staring at the ceiling.,छत पर घूरने के बजाए उपन्यास ही पढ़लो।
Don't you think the air conditioner is turned up too high in here?,तम्हें नहीं लगता कि एसी कुछ ज़्यादा ही तेज़ चल रहा है?
It will not make much difference whether you go today or tomorrow.,"तुम आज जाओ या कल, इससे ज़्यादा फ़र्क नहीं पड़ेगा।"
The boy gathered a handful of peanuts and put them in a small box.,उस लड़के ने एक मुट्ठीभर मूँगफलियाँ लीं और उन्हें एक छोटे से डब्बे में डाल दिया।
There's a rumor in the air that the firm is going into bankruptcy.,हवा में एक अफ़वाह है कि उस कारोबार का दिवालिया होने वाला है।
"If Tom doesn't help us, we'll never be able to finish this on time.",अगर टॉम हमारी मदद नहीं करेगा तो हम ये समय पर कभी नहीं कर पायेंगे।
You must not be afraid of making mistakes when learning a language.,कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।
Many people around the world don't have access to good quality water.,दुनिया भर में बहुत से लोगों को अच्छा पानी उपलब्ध नहीं है।
The company gave him a gold watch in acknowledgement of his services.,कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।
The twin girls are so much alike that I can't tell one from the other.,जुड़वा बहनें एक-दूसरे से इतनी मिलती-जुलतीं हैं कि मैं उनमें फ़र्क नहीं बता सकती।
I make it a practice to help my brother with his homework after supper.,मुझे रात को खाना खाने के बाद अपने भाई को उसके होमवर्क के साथ मदद करने की आदत है।
"Instead of laying off these workers, why don't we just cut their hours?",इन कर्मचारियों को नौकरी से निकालने की बजाय क्यों न हम इनके काम करना का समय कम करदें?
Our parents took care of us and now it's our turn to take care of them.,हमारे माता-पिता ने हमारी देखभाल की थी और अभ हमारी बारी है उनकी देखभाल करने की।
The thieves pulled open all the drawers of the desk in search of money.,चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।
I learned to drive a car and got a driver's license when I was eighteen.,जब मैं अठारह साल का था मैंने गाड़ी चलानी सीखी और लाईसेंस बनवालिया।
Father kept in touch with us by mail and telephone while he was overseas.,"जब पिताजी विदेश में थे, वे हमारे साथ चिट्ठी और फ़ोन से सम्पर्क करते थे।"
"Mother Teresa was a Catholic nun who lived and worked in Calcutta, India.",मदर टेरेसा एक कैथोलिक नन थीं जो कलकत्ता में रहतीं और काम करतीं थीं।
George Washington was the first president of the Unites States of America.,जार्ज वाशिंगटन संयुक्त राज्य अमेरिका के पहले राष्ट्रपति थे
Mother Teresa used the prize money for her work in India and around the world.,"मदर टेरेसा को जो इनाम में पैसे मिले, उन्होंने उन पैसों को भारत और विदोश दोनों में अपने काम में लगाया।"
